,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
11,0.75,0.75,0.75,0.75,0.5,0.5,0.25,1,0.5,0.75,,0.5,0.75,0.5,0.5,0.5,,1,0.75,1,,1.25,1,1.25,1.25,1.25,1,1.25,1.5,0.75,1.25,1.25,1.75,1.5,1,,,1,1,1.5,1,1.25,1.25,1,1,1.25,1,1,,0.75,0.75,0.75,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.5,0.5,0.5,,0.25,0.5,0.25,0.5,,0.5,0.5,0.75,,1,0.75,0.75,1,1.25,1,1,1.25,0.75,1,0.75,1.25,1,0.75,,,0.5,0.5,1,0.75,0.75,1,0.75,0.75,1,0.5,1,,0.5,0.5,0.5,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.75,0.25,0.75,0.25,,0.5,0.25,0.5,,0.5,0.5,0.75,,1,0.75,0.75,0.75,1.25,0.75,0.75,1,0.5,1,0.75,1.25,1,0.5,,,0.5,0.5,1,0.75,0.75,1,0.75,0.75,1,0.5,1,,0.5,0.75,0.75,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.75,0.75,0.75,0.5,0.5,0.5,0.25,0.75,0.5,0.75,0.5,0.5,0.5,,0.25,0.25,,0.75,0.5,0.75,,1,0.75,1,1,1,0.75,1,1.25,0.5,1,1,1.5,1.25,0.75,,,0.75,0.75,1.25,1,1,1.25,1,1,1.25,0.75,1.25,,0.75,0.75,0.75,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.75,0.5,0.5,0.25,0.25,0.25,,0.5,,0.5,0.5,0.5,,0.75,0.5,0.75,0.75,1,0.75,0.75,1,0.5,1,0.75,1.25,1,0.75,,,0.5,0.75,1.25,1,0.75,1.25,1,0.75,1,0.75,1.25,,0.5,0.75,0.75,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.25,0.5,,,0.75,0.5,0.75,,0.75,0.75,1,1,1,0.75,1,1.25,0.5,1,1,1.5,1.25,1,,,1,1,1.5,1.25,1.25,1.25,1.25,1,1.5,1,1.25,,0.75,1,1,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.5,0.5,0.5,0.5,1,0.75,0.75,0.25,1,0.25,1,0.5,0.5,0.75,0.5,0.75,,,0.5,0.5,,0.75,0.5,0.5,0.5,1,0.75,0.75,0.75,0.5,0.75,0.5,0.75,0.75,0.25,,,0.5,0.5,1.25,1,0.75,1,1,0.75,1,0.75,1.25,,0.75,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.5,0.75,0.5,0.5,1,0.75,0.75,0.5,1,0.5,0.75,0.5,0.5,0.5,0.5,0.5,,0.5,,0.25,,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.75,0.25,0.75,0.75,1,0.75,0.5,,,0.75,0.75,1.25,1.25,1,1.25,1,1,1.25,0.75,1.5,,0.75,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.75,0.75,0.75,0.75,1,1,1,0.5,1.25,0.5,1,0.75,0.75,0.75,0.5,0.75,,0.5,0.25,,,0.5,0.25,0.5,0.5,0.75,0.25,0.25,0.75,0.5,0.5,0.75,1,0.75,0.75,,,0.75,0.75,1.5,1.25,1,1.5,1.25,1,1.25,1,1.5,,1,1.25,1.25,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,1.25,1.25,1.25,1.5,1.25,1.25,1,1.5,1,1.25,1,1,1,0.75,0.75,,0.75,0.75,0.5,,,0.75,1,0.75,0.25,0.25,0.5,0.75,0.5,0.75,1,1.25,1,1,,,1.25,1.25,1.75,1.75,1.5,1.75,1.75,1.5,1.75,1.5,2,,1.25,1.5,1.5,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.5,0.75,0.75,0.75,1,1,1,0.5,1.25,0.5,1,0.75,0.75,0.75,0.5,0.75,,0.5,0.5,0.25,,0.75,,0.25,0.25,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,,,0.75,0.75,1.25,1.25,1,1.25,1.25,1,1.25,1,1.5,,1,1.25,1.25,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.5,0.5,0.5,0.75,1,1,1,0.5,1.25,0.5,1.25,0.75,0.75,1,0.75,1,,0.5,0.5,0.5,,1,0.25,,0.25,1,0.75,0.5,0.5,0.75,0.5,0.25,0.5,0.5,0.5,,,0.5,0.5,1.25,1.25,0.75,1.25,1,0.75,1,0.75,1.5,,0.75,1,1.25,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.75,0.75,0.75,1,1.25,1,1.25,0.5,1.5,0.75,1.25,1,0.75,1,0.75,1,,0.5,0.75,0.5,,0.75,0.25,0.25,,1,0.5,0.5,0.25,0.75,0.5,0.5,0.5,0.5,0.5,,,0.75,0.75,1.25,1.5,1,1.5,1.25,1,1.25,1,1.75,,1,1.25,1.5,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.25,1.25,1.25,1.25,1.5,1.5,1.25,1.25,1.5,1.25,1.25,1.25,1.25,1,1,1,,1,0.75,0.75,,0.25,0.75,1,1,,0.5,0.75,1,0.75,0.75,1.25,1.25,1.25,1.25,,,1.25,1.5,2,2,1.5,2,1.75,1.75,2,1.5,2,,1.5,1.75,1.75,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.75,1,1,1,1.25,1,1,0.75,1.25,0.75,1,1,0.75,0.75,0.75,0.75,,0.75,0.5,0.25,,0.25,0.5,0.75,0.5,0.5,,0.5,0.75,0.5,0.5,0.75,1,1,0.75,,,1,1,1.75,1.5,1.25,1.5,1.5,1.25,1.5,1.25,1.75,,1,1.25,1.5,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,1,1,1,1.25,1.25,1,0.75,1.5,0.75,1.25,1,0.75,1,0.75,1,,0.75,0.5,0.25,,0.5,0.5,0.5,0.5,0.75,0.5,,0.5,0.75,0.25,0.75,0.75,0.75,0.75,,,1,1,1.5,1.5,1.25,1.5,1.5,1.25,1.5,1.25,1.75,,1.25,1.5,1.5,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,1,1,1,1.5,1.25,1.25,0.75,1.5,0.75,1.5,1.25,1,1.25,1,1.25,,0.75,0.75,0.75,,0.75,0.5,0.5,0.25,1,0.75,0.5,,1,0.25,0.5,0.5,0.5,0.75,,,1,1,1.5,1.5,1,1.5,1.5,1.25,1.25,1.25,1.75,,1.25,1.5,1.5,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.75,0.75,0.75,0.75,1,0.75,0.75,0.75,1,0.75,0.75,0.75,0.5,0.5,0.5,0.5,,0.5,0.25,0.5,,0.5,0.5,0.75,0.75,0.75,0.5,0.75,1,,0.75,1,1.25,1,0.75,,,0.75,1,1.5,1.25,1,1.5,1.25,1,1.5,1,1.5,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,1,1,1,1.5,1.25,1.25,0.75,1.5,0.75,1.25,1,1,1,1,1,,0.75,0.75,0.5,,0.75,0.5,0.5,0.5,0.75,0.5,0.25,0.25,0.75,,0.75,0.5,0.5,0.75,,,1,1,1.5,1.75,1.25,1.75,1.5,1.25,1.5,1.25,1.75,,1.25,1.5,1.5,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.5,0.75,0.75,0.75,1.25,1,1,0.5,1.25,0.5,1.25,0.75,0.75,1,0.75,1,,0.5,0.75,0.75,,1,0.5,0.25,0.5,1.25,0.75,0.75,0.5,1,0.75,,0.5,0.25,0.25,,,0.5,0.5,1,1.25,0.75,1.25,1,0.75,1,0.75,1.5,,0.75,1,1.25,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,1,1,1.25,1.5,1.5,1.5,0.75,1.75,1,1.75,1.25,1.25,1.5,1.25,1.5,,0.75,1,1,,1.25,0.75,0.5,0.5,1.25,1,0.75,0.5,1.25,0.5,0.5,,0.25,0.75,,,1,1,1.25,1.5,1,1.5,1.5,1.25,1.25,1.25,1.75,,1.25,1.5,1.75,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.75,0.75,1,1,1.5,1.25,1.25,0.75,1.5,0.75,1.5,1,1,1.25,1,1.25,,0.75,0.75,0.75,,1,0.5,0.5,0.5,1.25,1,0.75,0.5,1,0.5,0.25,0.25,,0.5,,,0.75,0.75,1.25,1.5,1,1.5,1.25,1,1,1,1.75,,1,1.25,1.5,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.25,0.5,0.5,0.5,1,0.75,1,0.25,1,0.25,1,0.75,0.5,0.75,0.75,1,,0.25,0.5,0.75,,1,0.5,0.5,0.5,1.25,0.75,0.75,0.75,0.75,0.75,0.25,0.75,0.5,,,,0.25,0.25,1,1,0.5,1,0.75,0.5,0.75,0.5,1.25,,0.5,0.75,1,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.25,0.25,0.25,0.5,0.75,0.5,0.75,0.25,1,0.25,1,0.5,0.5,0.75,0.5,1,,0.5,0.75,0.75,,1.25,0.75,0.5,0.75,1.25,1,1,1,0.75,1,0.5,1,0.75,0.25,,,,0.25,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.5,1,,0.5,0.75,0.75,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.25,0.25,0.25,0.5,0.75,0.5,0.75,0.5,1,0.5,1,0.5,0.5,0.75,0.75,1,,0.5,0.75,0.75,,1.25,0.75,0.5,0.75,1.5,1,1,1,1,1,0.5,1,0.75,0.25,,,0.25,,0.75,0.75,0.25,0.75,0.5,0.25,0.5,0.25,1,,0.5,0.5,0.75,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,0.75,1,1,1.25,1,1.25,1,1.25,1,1.5,1,1,1.25,1.25,1.5,,1.25,1.25,1.5,,1.75,1.25,1.25,1.25,2,1.75,1.5,1.5,1.5,1.5,1,1.25,1.25,1,,,0.75,0.75,,0.75,0.5,0.5,0.5,0.5,0.25,0.75,1,,0.75,0.75,1,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.75,0.75,0.75,0.75,0.5,0.5,1,1,0.75,1,1,0.75,0.75,1,1,1.25,,1,1.25,1.25,,1.75,1.25,1.25,1.5,2,1.5,1.5,1.5,1.25,1.75,1.25,1.5,1.5,1,,,0.75,0.75,0.75,,0.75,0.25,0.25,0.5,0.75,0.5,0.25,,0.5,0.25,0.5,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.5,0.5,0.5,0.5,1,0.75,1,0.5,1,0.5,1.25,0.75,0.75,1,0.75,1.25,,0.75,1,1,,1.5,1,0.75,1,1.5,1.25,1.25,1,1,1.25,0.75,1,1,0.5,,,0.5,0.25,0.5,0.75,,0.75,0.5,0.25,0.5,0.5,1,,0.5,0.75,1,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1.25,1,1,1.25,1.25,1.25,,1,1.25,1.5,,1.75,1.25,1.25,1.5,2,1.5,1.5,1.5,1.5,1.75,1.25,1.5,1.5,1,,,0.75,0.75,0.5,0.25,0.75,,0.25,0.5,0.5,0.5,0.5,,0.75,0.5,0.75,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.75,0.5,0.75,0.5,0.75,0.5,0.75,0.75,0.75,0.75,1,0.75,0.75,1,1,1.25,,1,1,1.25,,1.75,1.25,1,1.25,1.75,1.5,1.5,1.5,1.25,1.5,1,1.5,1.25,0.75,,,0.75,0.5,0.5,0.25,0.5,0.25,,0.5,0.5,0.5,0.5,,0.5,0.25,0.5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.5,0.5,0.5,0.5,0.75,0.5,1,0.5,1,0.5,1,0.75,0.75,1,0.75,1,,0.75,1,1,,1.5,1,0.75,1,1.75,1.25,1.25,1.25,1,1.25,0.75,1.25,1,0.5,,,0.5,0.25,0.5,0.5,0.25,0.5,0.5,,0.5,0.25,0.75,,0.5,0.5,0.75,,,,,,,,1,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,0.25
46,0.75,0.75,0.75,0.75,1,1,1.25,0.75,1.25,0.75,1.25,1,1,1.25,1,1.5,,1,1.25,1.25,,1.75,1.25,1,1.25,2,1.5,1.5,1.25,1.5,1.5,1,1.25,1,0.75,,,0.75,0.5,0.25,0.75,0.5,0.5,0.5,0.5,,0.5,1,,0.75,0.75,1,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.5,0.25,0.5,0.5,0.75,0.5,0.75,0.5,0.75,0.5,1,0.5,0.5,0.75,0.75,1,,0.75,0.75,1,,1.5,1,0.75,1,1.5,1.25,1.25,1.25,1,1.25,0.75,1.25,1,0.5,,,0.5,0.25,0.75,0.5,0.5,0.5,0.5,0.25,0.5,,0.75,,0.25,0.5,0.75,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,1,1,1,0.75,0.75,1,1.25,0.75,1,1,1,1,1.25,1.25,1.25,,1.25,1.5,1.5,,2,1.5,1.5,1.75,2,1.75,1.75,1.75,1.5,1.75,1.5,1.75,1.75,1.25,,,1,1,1,0.25,1,0.5,0.5,0.75,1,0.75,,,0.75,0.5,0.5,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.5,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.75,0.5,0.75,0.5,0.5,0.75,0.5,0.75,,0.75,0.75,1,,1.25,1,0.75,1,1.5,1,1.25,1.25,1,1.25,0.75,1.25,1,0.5,,,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.25,0.75,,,0.25,0.5,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,1,,1,1,1.25,,1.5,1.25,1,1.25,1.75,1.25,1.5,1.5,1,1.5,1,1.5,1.25,0.75,,,0.75,0.5,0.75,0.25,0.75,0.5,0.25,0.5,0.75,0.5,0.5,,0.25,,0.5,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0.75,0.75,0.75,0.5,0.25,0.5,0.5,1,0.5,0.75,0.75,0.5,0.75,0.75,0.75,1,,1,1,1.25,,1.5,1.25,1.25,1.5,1.75,1.5,1.5,1.5,1,1.5,1.25,1.75,1.5,1,,,0.75,0.75,1,0.5,1,0.75,0.5,0.75,1,0.75,0.5,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1,0.75,0.75,0.5,0.75,0.75,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0.75,0.75,0.75,0.75,0.25,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0.75,0.5,0.75,0.75,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1,0.75,1,1,0.75,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0.75,0.75,0.75,0.75,0.75,1,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0.75,0.5,0.5,0.75,0.75,0.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,1,1,0.75,0.5,0.75,0.5,1,0.25,1,0.5,0.75,0.75,75,0.75,0.75,,1,1,1.25,,1.5,1.25,1.25,1.5,1.75,1.5,1.5,1.75,1,1.75,1.5,1.75,1.75,1.25,,,1,1,1.5,0.75,1.25,1,1,1,1.25,1,0.75,,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,1,1,1,1,1.25,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1.25,1,1,1.25,1.25,1.25,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1.25,1.25,1.25,1.25,1.5,1.5,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1.25,1.25,1.25,1.25,1.5,1.5,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1.75,1.5,1.75,1.5,1.75,1.75,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1.75,1.75,1.75,1.75,1.75,1.5,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2,1.75,2,2,1.75,1.75,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.75,3.75,3.75,3.75,3.75,4,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
